"[all run data]","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters"
,"48","43","46","44","47","39","47","49","48","46","48","43","47","44","45","45","47","46","44","49","43","43","48","45","42","47","42","48","45","45"
,"48","43","46","44","47","39","47","49","47","46","48","43","47","44","45","45","47","46","43","49","42","43","48","45","42","47","41","47","45","45"
,"48","43","45","44","44","39","46","49","47","46","48","43","47","44","45","45","47","46","43","49","42","43","48","45","42","47","41","46","45","45"
,"48","43","45","44","44","39","46","49","47","46","48","43","47","44","45","45","47","46","43","49","42","43","48","45","42","47","41","46","45","45"
,"48","43","45","44","44","38","46","49","47","46","48","43","47","44","45","45","47","46","43","49","42","43","48","45","42","47","41","46","44","45"
,"48","43","45","44","44","38","46","49","45","46","48","43","46","44","44","45","47","46","43","49","42","43","47","45","42","47","41","46","44","45"
,"48","43","45","44","44","38","46","49","45","46","48","43","46","44","44","45","47","46","43","48","42","43","47","44","42","47","41","46","43","45"
,"48","43","45","44","44","38","46","49","45","46","48","43","46","44","44","45","47","46","43","48","42","43","47","44","42","46","41","46","42","45"
,"48","43","45","44","44","38","46","49","45","45","47","43","45","44","44","45","47","46","43","48","42","43","47","44","42","45","41","46","42","45"
,"48","43","45","44","44","38","46","49","45","45","47","43","45","44","44","44","46","46","43","48","42","43","47","44","42","45","41","46","41","45"
,"48","43","44","44","43","38","46","49","45","45","47","43","45","44","44","44","46","46","43","48","42","43","47","44","42","45","41","46","41","45"
,"46","43","44","44","43","38","45","49","45","45","47","43","45","44","44","44","46","46","43","48","42","43","47","43","42","45","40","45","41","45"
,"46","43","44","44","43","38","45","49","45","45","47","43","43","43","44","44","45","46","43","48","42","42","47","43","42","45","40","45","41","45"
,"45","43","44","44","43","38","45","49","44","45","47","43","43","43","44","44","45","46","43","48","42","42","47","43","42","45","40","45","41","45"
,"45","43","44","44","43","38","45","48","44","45","46","43","43","43","44","44","45","46","43","48","42","42","47","42","42","45","40","45","40","45"
,"45","43","44","44","43","38","45","48","44","45","46","43","43","43","44","44","45","46","43","48","42","42","47","42","42","45","40","45","40","45"
,"45","43","44","44","43","38","45","47","44","45","46","43","43","43","44","43","45","46","43","48","42","42","47","42","42","45","40","45","40","45"
,"45","43","44","44","43","38","45","47","44","45","46","43","43","43","44","43","45","46","43","48","42","42","47","42","42","45","40","45","40","45"
,"45","43","44","44","43","38","45","47","43","45","46","42","43","43","44","43","44","46","43","48","42","42","47","42","42","45","40","45","39","45"
,"45","43","44","44","43","38","45","47","43","45","46","42","43","43","44","43","44","45","43","48","42","42","47","42","42","44","40","45","39","45"
,"45","43","43","44","43","38","45","47","43","45","46","42","43","43","44","43","44","45","43","48","42","42","47","42","42","44","39","45","38","45"
,"45","43","43","44","43","38","45","47","43","45","46","42","43","43","44","43","44","45","43","48","42","42","47","42","42","44","39","45","38","45"
,"45","43","42","44","42","38","45","47","42","45","46","42","43","43","44","43","44","45","43","48","42","42","47","41","42","44","39","45","38","45"
,"45","43","41","44","42","38","45","47","42","45","46","41","43","43","44","43","44","45","43","48","42","42","47","41","42","44","39","45","38","45"
,"45","43","41","44","42","38","45","47","42","45","46","41","43","43","44","43","44","45","43","48","42","42","47","41","42","44","39","45","38","45"
,"45","43","41","44","42","38","45","47","42","45","46","40","43","43","43","43","44","45","43","48","42","42","47","41","42","43","39","45","38","45"
,"45","43","41","44","42","38","45","47","41","45","46","40","43","43","43","43","44","45","43","48","42","42","46","41","42","43","39","45","38","44"
,"45","43","41","44","42","38","45","47","41","45","46","40","43","43","43","43","44","45","43","48","42","42","46","41","42","43","39","45","38","44"
,"45","43","41","44","42","38","45","47","41","45","46","40","43","43","43","43","44","45","43","48","42","42","46","41","42","43","39","44","38","44"
,"45","43","41","44","42","38","45","47","41","45","46","40","43","43","43","43","44","45","43","48","42","42","46","41","42","43","39","44","38","44"
,"45","43","41","44","42","38","45","47","41","45","46","40","42","43","43","42","44","44","43","48","42","42","46","40","41","43","39","44","38","44"
,"45","43","41","44","41","38","45","46","41","45","46","40","41","43","43","41","43","44","43","48","42","42","46","40","41","43","39","44","38","44"
,"45","43","41","44","40","38","45","46","41","44","46","40","41","43","43","41","43","44","43","48","42","42","46","40","41","43","39","44","38","44"
,"45","43","41","41","40","38","45","46","41","44","46","40","41","43","43","41","43","44","43","48","42","42","46","40","41","43","39","44","38","44"
,"45","43","41","41","40","38","45","46","41","44","46","39","41","43","43","41","43","44","42","48","42","42","46","40","41","43","39","44","38","44"
,"45","43","41","41","40","38","45","46","41","44","46","39","41","43","43","41","43","44","42","48","42","42","46","40","41","43","37","44","38","44"
,"45","43","41","41","40","38","45","46","41","44","46","39","41","43","43","41","43","44","42","48","42","42","46","40","41","43","37","44","38","44"
,"45","43","41","41","40","38","45","46","41","44","46","39","41","43","43","41","43","44","42","48","42","40","46","40","41","43","37","44","38","44"
,"45","43","41","41","40","38","45","45","41","44","46","39","41","43","43","40","43","44","42","47","42","40","46","40","41","43","37","44","38","44"
,"44","43","41","41","40","38","45","45","41","44","44","39","41","43","43","40","43","44","42","47","42","40","46","40","40","43","36","44","38","44"
,"44","43","41","41","40","38","45","45","40","44","44","39","41","43","43","40","43","44","42","47","42","40","46","40","40","43","36","44","38","44"
,"44","43","41","41","40","38","45","45","40","44","44","39","41","43","43","38","43","44","42","47","42","40","46","40","40","43","36","44","38","44"
,"44","43","41","41","40","38","45","45","40","44","44","39","41","43","43","38","43","44","42","47","42","40","46","40","40","43","36","44","38","44"
,"44","43","41","41","40","38","45","45","40","44","44","39","40","43","43","37","43","44","42","47","42","40","46","40","40","43","36","44","38","44"
,"44","43","41","41","40","38","45","45","40","44","44","39","40","43","43","37","43","44","42","47","42","40","46","40","39","43","36","44","38","43"
,"44","43","41","41","40","38","45","45","40","44","44","39","40","42","43","37","43","44","42","47","42","40","46","40","39","43","36","44","38","43"
,"44","43","41","41","40","38","45","45","40","44","44","39","40","42","43","36","43","44","42","47","42","40","45","40","39","43","36","44","38","43"
,"44","43","41","41","40","38","45","45","40","44","44","39","40","42","43","36","43","44","41","47","42","40","45","40","38","43","36","44","38","43"
,"44","43","41","41","40","38","45","45","40","44","44","39","40","42","43","36","43","44","41","47","42","40","45","40","38","43","35","44","37","43"
,"44","43","41","41","40","38","45","45","39","43","44","39","40","42","43","36","43","44","41","47","42","40","45","40","38","43","35","44","37","43"
,"44","43","41","41","40","38","45","45","39","43","44","39","40","42","43","36","43","44","41","47","42","40","45","40","38","43","35","44","37","43"
,"44","43","40","41","40","38","45","45","39","43","43","38","40","42","43","36","43","44","41","47","42","40","45","40","38","43","35","44","37","43"
,"44","43","40","41","40","38","45","45","39","43","43","38","40","42","43","36","43","44","40","47","42","40","44","40","38","43","35","43","37","43"
,"44","43","40","41","40","38","45","45","39","43","43","38","40","42","43","36","43","44","40","47","42","40","44","40","38","43","35","43","37","43"
,"44","43","40","40","40","38","45","45","39","43","43","37","40","42","43","36","42","44","40","47","41","40","44","40","38","43","35","43","37","43"
,"44","43","40","40","40","38","45","45","39","43","43","37","40","42","43","36","42","44","40","46","41","40","44","40","38","43","35","43","37","43"
,"44","42","40","40","40","37","45","45","39","43","43","37","40","42","43","36","42","44","40","46","41","39","44","40","38","43","35","43","37","42"
,"44","42","40","40","40","37","45","45","39","42","42","36","40","42","43","36","42","44","40","46","41","39","44","40","37","43","35","43","37","41"
,"44","42","40","40","40","37","45","45","39","42","42","36","40","42","43","36","42","44","40","46","41","39","44","40","37","43","35","43","37","41"
,"44","42","40","40","40","37","45","45","39","42","42","36","40","42","43","36","42","44","39","45","41","39","44","40","37","43","35","43","37","41"
,"44","42","40","40","40","37","45","45","39","42","42","36","40","42","43","36","42","44","39","45","41","39","44","40","37","42","35","43","37","41"
,"44","42","40","40","40","37","45","45","39","42","42","35","40","42","43","35","42","44","39","45","41","39","44","39","37","42","35","43","37","41"
,"44","42","40","40","40","37","45","45","38","42","42","35","40","42","43","35","42","44","39","45","41","39","44","39","37","42","35","43","37","41"
,"44","42","40","40","40","37","45","45","38","42","42","35","40","42","43","35","42","44","39","45","41","39","44","39","37","42","35","43","37","41"
,"44","42","40","40","40","37","45","45","38","42","42","35","40","42","43","35","42","44","39","45","41","39","43","39","37","42","33","43","37","40"
,"44","42","40","40","40","37","45","45","38","42","42","35","39","42","43","35","42","44","39","45","41","39","43","39","37","42","33","42","37","40"
,"44","42","40","40","40","37","45","45","38","42","42","35","39","42","43","35","42","44","39","45","40","38","43","39","37","42","33","42","37","40"
,"44","42","40","40","40","37","45","45","38","42","42","35","39","42","43","35","42","44","39","45","40","38","43","39","37","41","33","42","37","40"
,"44","42","40","40","40","37","45","45","38","42","42","35","39","42","43","35","42","44","39","45","40","38","43","39","37","41","33","42","37","40"
,"44","42","40","40","40","37","45","45","38","42","42","35","39","42","43","35","42","44","39","45","40","37","43","39","37","41","33","42","37","40"
,"44","42","40","40","40","37","45","45","38","41","42","35","39","42","43","35","42","44","39","45","40","37","43","39","37","41","33","42","37","40"
,"44","41","40","39","40","37","45","45","38","41","42","35","39","42","43","35","42","44","39","45","40","37","42","39","37","40","33","42","37","40"
,"44","40","40","39","40","37","45","45","38","41","42","35","39","42","43","33","41","44","39","45","40","37","42","38","37","40","33","42","37","40"
,"44","40","40","39","40","37","45","45","37","41","42","35","39","42","43","33","41","44","39","45","40","37","42","37","37","40","33","42","37","40"
,"44","40","40","38","40","37","45","45","37","41","41","35","39","42","43","33","41","44","39","45","40","37","41","37","37","40","33","42","37","40"
,"43","40","40","38","40","37","45","45","37","41","41","35","39","42","43","33","41","44","39","45","40","37","41","37","36","40","33","42","37","40"
,"43","40","40","38","40","37","45","45","37","41","41","35","39","42","43","33","41","44","39","45","40","37","41","37","36","40","33","42","37","40"
,"43","40","40","38","40","37","45","45","36","41","41","35","39","42","43","33","41","44","39","45","40","37","41","37","36","40","32","41","37","39"
,"43","40","40","38","40","37","45","45","36","41","41","35","39","42","43","33","41","44","39","45","40","37","41","37","35","40","32","41","37","38"
,"43","40","40","38","40","37","45","45","36","41","41","35","39","42","43","33","41","44","39","45","40","37","41","37","35","40","32","41","35","38"
,"43","40","40","38","40","36","45","45","36","41","41","35","39","42","42","33","41","44","38","44","40","37","41","37","35","40","32","41","35","37"
,"43","40","39","37","40","36","45","45","36","41","41","35","39","42","41","33","41","44","38","44","40","37","40","37","35","40","32","41","35","37"
,"43","40","39","37","40","36","45","45","36","41","41","35","39","42","41","33","41","44","38","43","40","37","40","37","35","40","32","41","35","37"
,"43","39","39","37","40","36","45","45","36","41","41","35","39","42","41","33","41","44","38","43","40","37","40","37","35","40","32","41","35","37"
,"43","39","39","37","40","36","45","45","36","41","41","35","39","42","41","33","41","44","37","43","40","37","40","37","35","40","32","41","35","36"
,"43","39","39","36","40","36","45","45","36","41","41","35","39","42","41","33","41","44","37","43","40","37","40","37","35","40","32","41","35","36"
,"43","39","39","36","40","36","45","45","35","41","41","35","39","42","41","33","41","44","37","43","40","37","38","37","35","40","32","41","35","36"
,"43","39","39","36","40","36","45","45","35","41","41","34","39","42","41","33","41","44","37","43","40","37","38","37","35","40","32","40","35","36"
,"43","39","39","36","40","36","45","45","35","40","41","34","39","42","41","33","41","44","37","43","40","37","38","37","35","40","32","40","35","36"
,"43","39","39","36","40","36","45","45","35","40","41","34","39","42","41","33","41","44","37","43","40","37","38","36","35","40","32","40","35","36"
,"43","39","39","36","40","36","45","45","35","40","41","34","39","42","41","33","41","44","37","43","40","36","38","36","35","40","32","40","35","36"
,"43","39","39","36","40","36","45","45","35","40","41","34","39","42","41","33","41","44","37","43","39","36","38","36","35","40","32","40","35","36"
,"43","39","39","36","39","36","45","45","35","40","41","34","38","42","40","33","41","44","37","43","39","36","38","36","35","40","32","40","35","36"
,"43","39","39","36","39","36","45","45","35","40","41","34","38","42","40","33","41","44","37","43","39","36","38","36","34","40","32","40","35","36"
,"43","39","38","36","39","36","45","45","35","40","41","34","37","42","40","33","40","43","37","43","39","36","36","36","34","40","32","40","35","36"
,"43","39","38","36","39","35","44","45","35","40","41","34","37","42","40","33","40","43","37","43","39","36","36","36","34","40","31","40","35","36"
,"43","39","38","36","39","34","44","45","34","40","41","34","37","42","40","33","40","43","37","43","39","36","36","36","34","40","31","40","35","36"
,"43","39","38","36","39","34","44","45","34","40","41","34","37","42","40","33","40","43","37","43","39","36","36","36","34","40","31","40","34","36"
