"[all run data]","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters"
,"46","49","41","45","53","51","46","51","47","45","48","53","53","44","42","44","47","48","47","48","48","44","44","49","47","47","52","45","46","55"
,"46","49","41","45","54","51","48","50","47","46","48","52","53","44","42","44","47","48","46","48","46","44","44","49","47","47","51","45","48","55"
,"46","49","41","45","54","51","49","50","47","46","50","52","53","43","42","44","47","48","45","48","46","44","44","49","47","47","52","45","49","55"
,"47","49","41","45","54","51","49","50","49","47","51","54","53","43","42","44","47","48","46","48","45","44","44","49","47","47","52","45","49","57"
,"47","49","40","44","56","53","49","50","50","47","53","55","53","43","42","44","47","48","46","48","44","44","44","49","47","46","52","45","50","58"
,"48","49","40","43","58","55","49","50","51","47","53","55","53","43","42","44","47","49","46","48","44","44","44","51","47","46","52","45","50","61"
,"48","49","40","43","58","55","50","51","49","47","56","55","53","43","43","43","46","51","45","47","45","43","44","52","47","46","52","45","50","63"
,"48","50","40","43","58","56","50","52","50","47","56","55","53","43","43","43","46","52","46","47","46","45","44","52","47","46","52","44","50","65"
,"48","50","40","43","58","57","50","54","49","47","55","57","54","44","45","45","46","53","46","47","48","46","46","52","47","45","53","43","50","67"
,"49","50","40","43","58","59","52","55","49","47","55","59","54","44","45","45","46","54","45","47","50","47","46","52","46","46","53","43","50","68"
,"50","50","40","43","57","64","53","55","51","46","55","59","53","44","48","45","47","54","45","46","49","48","46","51","46","46","53","43","50","68"
,"50","49","40","43","57","66","53","55","51","46","55","59","53","44","52","45","47","54","45","46","49","49","46","52","47","46","53","42","49","69"
,"51","49","39","42","57","67","55","56","50","45","55","60","53","44","53","45","49","56","45","46","49","49","46","53","48","45","53","42","51","71"
,"50","49","39","42","58","69","55","57","50","46","55","60","53","43","54","46","49","56","46","46","51","50","46","54","50","44","53","42","52","72"
,"50","49","39","42","57","71","56","56","50","46","56","59","52","43","56","48","52","57","46","46","52","50","46","56","49","43","53","42","53","71"
,"50","50","39","40","55","74","56","56","50","46","56","59","55","42","58","49","52","57","46","46","53","50","46","58","49","43","52","42","54","71"
,"50","51","39","40","54","76","56","56","52","48","57","60","55","42","60","50","52","59","46","46","52","50","46","58","50","43","53","43","54","71"
,"50","54","39","40","54","79","56","56","54","47","58","60","55","41","62","51","52","58","46","46","52","50","47","61","50","42","53","43","53","71"
,"50","56","39","39","54","80","57","56","55","47","58","60","56","41","62","52","53","58","46","45","53","50","48","62","50","42","53","44","54","71"
,"50","58","39","39","52","80","58","56","55","46","59","60","57","41","63","53","53","59","45","45","55","49","48","62","51","42","53","45","54","71"
,"50","61","41","39","53","82","58","55","55","46","58","60","58","41","65","54","53","59","45","45","56","49","48","63","51","42","53","46","54","71"
,"50","62","43","39","53","82","56","55","57","46","60","60","59","41","65","55","56","58","44","45","58","50","48","63","51","43","53","48","53","71"
,"50","61","45","39","53","81","56","55","57","46","65","60","59","40","65","55","59","59","44","45","58","50","48","64","51","42","54","48","53","70"
,"50","60","49","39","53","80","58","53","56","45","67","60","59","40","65","56","62","59","42","45","59","50","48","65","51","42","54","50","53","70"
,"50","60","50","39","53","80","58","52","56","45","68","60","59","40","67","57","64","58","42","44","59","50","48","67","51","42","56","50","53","70"
,"50","60","51","39","54","79","59","51","55","45","70","61","58","39","68","56","69","58","42","43","56","50","48","68","51","42","57","51","53","71"
,"49","60","52","39","54","79","59","51","56","45","72","62","59","39","71","56","72","58","43","41","56","50","48","69","49","42","58","51","53","70"
,"48","61","51","40","54","79","59","51","57","45","74","63","58","39","75","57","75","58","44","41","56","49","48","71","49","41","58","53","52","71"
,"48","60","51","40","53","80","60","51","57","44","75","63","57","39","75","58","78","58","46","41","55","49","49","73","49","41","58","53","51","72"
,"49","60","52","41","53","81","62","51","57","46","77","64","57","39","79","58","80","58","45","41","55","49","49","76","49","41","58","53","53","73"
,"52","59","51","41","53","81","60","51","56","46","79","64","57","38","79","58","82","56","44","40","54","49","48","76","49","42","58","53","53","73"
,"53","59","52","41","53","81","60","51","57","47","80","64","57","38","81","58","83","56","44","40","54","49","48","78","48","42","59","52","52","73"
,"53","58","55","41","53","81","59","49","57","47","82","64","57","38","81","58","83","56","44","40","53","49","48","79","48","42","62","53","51","73"
,"53","58","57","42","53","81","59","49","56","47","84","64","56","38","83","59","84","56","44","40","53","49","48","81","48","42","64","54","51","73"
,"53","58","57","42","53","82","58","49","55","46","84","64","56","39","85","59","86","58","44","40","52","49","48","82","47","41","66","55","50","73"
,"51","58","56","42","51","79","57","47","54","47","79","63","52","39","89","57","83","56","44","40","51","49","46","79","47","39","64","51","51","71"
